Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Electricity $/kWh,Service Area
"Direct Energy","Home,Small Business","3 Year Super Flex Plus Electricity","01/01/2024","01/01/2024","36",="0.18","Alberta Municipal Power System,Armena REA Ltd.,ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,EQUS REA LTD.,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Niton REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home,Small Business","1 Year Super Flex Plus Electricity","01/01/2024","01/01/2024","12",="0.18","Alberta Municipal Power System,Armena REA Ltd.,ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,EQUS REA LTD.,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Niton REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home,Small Business","5 Year Super Flex Plus Electricity","01/01/2024","01/31/2024","60",="0.18","Alberta Municipal Power System,Armena REA Ltd.,ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,EQUS REA LTD.,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Niton REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home,Small Business","3 Year Super Flex Plus Electricity","01/01/2024","01/31/2024","36",="0.18","Alberta Municipal Power System,Armena REA Ltd.,ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,EQUS REA LTD.,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Niton REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home,Small Business","1 Year Super Flex Plus Electricity","01/01/2024","01/31/2024","12",="0.18","Alberta Municipal Power System,Armena REA Ltd.,ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,EQUS REA LTD.,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Niton REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home","5 Year Cashback Plus Electricity","01/01/2024","01/31/2024","60",="0.1229","Alberta Municipal Power System,Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home","3 Year Cashback Plus Electricity","01/01/2024","01/31/2024","36",="0.1229","Alberta Municipal Power System,Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Home","1 Year Simple One Electricity","01/01/2024","01/31/2024","12",="0.1599","Alberta Municipal Power System,Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Small Business","5 Year Cashback Plus Electricity","01/01/2024","01/31/2024","60",="0.1499","Alberta Municipal Power System,Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Small Business","3 Year Cashback Plus Electricity","01/01/2024","01/31/2024","36",="0.1499","Alberta Municipal Power System,Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Direct Energy","Small Business","1 Year Simple One Electricity","01/01/2024","01/31/2024","12",="0.1599","Alberta Municipal Power System,Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Encor by EPCOR","Home,Small Business","Five Year Floating Electricity Plan","01/01/2024","01/31/2024","1",="0.19007","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,County of Two Hills #21,ENMAX,EPCOR,Flagstaff County,FortisAlberta,Lac La Biche County,Smoky Lake County,Stony Plain REA Ltd.,Thorhild County,Town of Castor,Town of Daysland,Town of Devon,Town of High Prairie,Town of Manning,Town of Redwater,Town of Smoky Lake,Town of Sundre,Town of Valleyview,Town of Wainwright,Village of Boyle,Village of Chauvin,Village of Forestburg,West Wetaskiwin REA Ltd."
"Encor by EPCOR","Home,Small Business","Five Year Floating Electricity Plan","01/01/2024","01/31/2024","1",="0.19007","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,County of Two Hills #21,ENMAX,EPCOR,Flagstaff County,FortisAlberta,Lac La Biche County,Smoky Lake County,Stony Plain REA Ltd.,Thorhild County,Town of Castor,Town of Daysland,Town of Devon,Town of High Prairie,Town of Manning,Town of Redwater,Town of Smoky Lake,Town of Sundre,Town of Valleyview,Town of Wainwright,Village of Boyle,Village of Chauvin,Village of Forestburg,West Wetaskiwin REA Ltd."
"Easymax by ENMAX Energy","Home","EasyMax�� Index Electricity - Calgary","01/01/2024","01/31/2024","1",="0.18896","ENMAX"
"Easymax by ENMAX Energy","Small Business,Farm","EasyMax�� Index Electricity - Calgary","01/01/2024","01/31/2024","1",="0.17758","ENMAX"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - Red Deer","01/01/2024","01/31/2024","1",="0.18079","City of Red Deer"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - Cardston","01/01/2024","01/31/2024","1",="0.18048","Town of Cardston"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - Ponoka","01/01/2024","01/31/2024","1",="0.17571","Town of Ponoka"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - Lethbridge","01/01/2024","01/31/2024","1",="0.19147","City of Lethbridge"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - DE","01/01/2024","01/31/2024","1",="0.18024","ATCO Electric"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - EPCOR Edmonton","01/01/2024","01/31/2024","1",="0.17872","EPCOR"
"Easymax by ENMAX Energy","Home,Small Business,Farm","EasyMax�� Index Electricity - EPCOR Fortis","01/01/2024","01/31/2024","1",="0.18131","FortisAlberta"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - Calgary","01/01/2024","01/31/2024","36",="0.16311","ENMAX"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - Red Deer","01/01/2024","01/31/2024","36",="0.16034","City of Red Deer"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - Lethbridge","01/01/2024","01/31/2024","36",="0.1521","City of Lethbridge"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - AMPS","01/01/2024","01/31/2024","36",="0.15977","City of Red Deer"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - AMPS","01/01/2024","01/31/2024","36",="0.15977","Town of Cardston"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - AMPS","01/01/2024","01/31/2024","36",="0.16303","Town of Ponoka"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - DE RRO","01/01/2024","01/31/2024","36",="0.1735","ATCO Electric"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - EPCOR RRO","01/01/2024","01/31/2024","36",="0.1701","EPCOR"
"Easymax by ENMAX Energy","Home","EasyMax��  3-Year Floating Electricity - FORTIS RRO","01/01/2024","01/31/2024","36",="0.16917","FortisAlberta"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1851","ATCO Electric"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1854","ATCO Electric"
"UTILITYNet","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1837","ATCO Electric"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1821","ENMAX"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1844","ENMAX"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1831","City of Red Deer"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1831","City of Red Deer"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1809","Town of Cardston"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1809","Town of Cardston"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1797","Town of Ponoka"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1797","Town of Ponoka"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1833","EPCOR"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1833","EPCOR"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1794","FortisAlberta"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1811","FortisAlberta"
"UTILITYNet","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1808","FortisAlberta"
"UTILITYNet","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1826","City of Lethbridge"
"UTILITYNet","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1826","City of Lethbridge"
"Alberta Cooperative Energy (ACE)","Home,Small Business,Farm","Variable Rate + $0.0099 (*EMR) / kWh","01/01/2024","01/31/2024","1",="0.18206","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Sterling REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Home","1-Year ATCO Advantage Plan","01/01/2024","01/31/2024","12",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Home","2-Year ATCO Advantage Plan","01/01/2024","01/31/2024","24",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Home","3-Year ATCO Advantage Plan","01/01/2024","01/31/2024","36",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Home","5-Year ATCO Advantage Plan","01/01/2024","01/31/2024","60",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Small Business","1-Year Variable Electricity","01/01/2024","01/31/2024","12",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Small Business","2-Year Variable Electricity","01/01/2024","01/31/2024","24",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Small Business","3-Year Variable Electricity","01/01/2024","01/31/2024","36",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"ATCOenergy","Small Business","5-Year Variable Electricity","01/01/2024","01/31/2024","60",="0.1553","ATCO Electric,Beaver REA Ltd.,Borradaile REA Ltd.,Braes REA Ltd.,City of Lethbridge,City of Red Deer,Claysmore REA Ltd.,Devonia REA Ltd.,Drayton Valley REA Ltd.,ENMAX,EPCOR,Fenn REA Ltd.,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,Lindale REA Ltd.,MacKenzie REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Peigan REA,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"PowerBill","Home,Small Business","1yr Fixed Electricity Rate","01/01/2024","01/01/2025","12",="0.1399","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,ENMAX,EPCOR,FortisAlberta"
"Fluent Utilities","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1889","ATCO Electric"
"Fluent Utilities","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1893","ATCO Electric"
"Fluent Utilities","Farm","Wholesale","01/01/2024","01/31/2024","1",="0.1875","ATCO Electric"
"Fluent Utilities","Home","Wholesale","01/01/2024","01/31/2024","1",="0.186","ENMAX"
"Fluent Utilities","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1882","ENMAX"
"Fluent Utilities","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1869","City of Red Deer"
"Fluent Utilities","Small Business","Wholesale","01/01/2024","01/31/2024","1",="0.1869","City of Red Deer"
"Fluent Utilities","Home","Wholesale","01/01/2024","01/31/2024","1",="0.1848","Town of Cardston"
